date,sp,M,F,tandem,tot,date_j,year,males,females,ratio
6/15/2023,EXS,45,12,11,79,165,2023,56,23,2.658174819
6/15/2023,TRA,22,20,12,66,165,2023,34,32,1.078579519
6/16/2023,EXS,67,18,14,113,166,2023,81,32,2.658174819
6/16/2023,TRA,16,18,5,44,166,2023,21,23,1.078579519
6/17/2023,EXS,41,19,14,88,167,2023,55,33,2.658174819
6/17/2023,TRA,52,47,57,213,167,2023,109,104,1.078579519
6/20/2023,EXS,30,5,5,45,170,2023,35,10,3.165697794
6/20/2023,TRA,52,25,16,109,170,2023,68,41,1.131594245
6/21/2023,EXS,26,5,5,41,171,2023,31,10,3.165697794
6/21/2023,TRA,29,24,16,85,171,2023,45,40,1.131594245
6/22/2023,EXS,41,11,10,72,172,2023,51,21,3.165697794
6/22/2023,TRA,35,33,31,130,172,2023,66,64,1.131594245
6/23/2023,EXS,33,9,7,56,173,2023,40,16,3.165697794
6/23/2023,TRA,14,19,12,57,173,2023,26,31,1.131594245
6/26/2023,EXS,61,30,28,147,176,2023,89,58,2.543995719
6/26/2023,TRA,21,22,20,83,176,2023,41,42,1.210386835
6/28/2023,EXS,51,23,23,120,178,2023,74,46,2.543995719
6/28/2023,TRA,17,17,14,62,178,2023,31,31,1.210386835
6/29/2023,EXS,56,15,14,99,179,2023,70,29,2.543995719
6/29/2023,TRA,24,22,17,80,179,2023,41,39,1.210386835
6/30/2023,EXS,31,17,17,82,180,2023,48,34,2.543995719
6/30/2023,TRA,15,13,11,50,180,2023,26,24,1.210386835
7/3/2023,EXS,24,3,1,29,183,2023,25,4,4.121102509
7/3/2023,TRA,3,1,1,6,183,2023,4,2,1.27436273
7/4/2023,EXS,32,19,16,83,184,2023,48,35,4.121102509
7/4/2023,TRA,2,4,1,8,184,2023,3,5,1.27436273
7/10/2023,EXS,17,2,2,23,190,2023,19,4,4.324174407
7/12/2023,EXS,31,10,9,59,192,2023,40,19,4.324174407
7/12/2023,TRA,3,3,3,12,192,2023,6,6,1.2
7/14/2023,EXS,32,9,8,57,194,2023,40,17,4.324174407
7/14/2023,TRA,2,2,2,8,194,2023,4,4,1.2
7/15/2023,EXS,22,4,4,34,195,2023,26,8,4.324174407
7/15/2023,TRA,1,1,1,4,195,2023,2,2,1.2
7/17/2023,EXS,32,4,4,44,197,2023,36,8,4.748387097
7/17/2023,TRA,0,0,0,0,197,2023,0,0,0.9
7/19/2023,EXS,32,4,4,44,199,2023,36,8,4.748387097
7/19/2023,TRA,1,3,1,6,199,2023,2,4,0.9
7/20/2023,EXS,28,3,2,35,200,2023,30,5,4.748387097
7/20/2023,TRA,0,0,0,0,200,2023,0,0,0.9
7/22/2023,EXS,27,3,3,36,202,2023,30,6,4.748387097
7/27/2023,EXS,29,7,5,46,207,2023,34,12,6.611111111
7/27/2023,TRA,2,1,1,5,207,2023,3,2,1.5
7/28/2023,EXS,33,3,3,42,208,2023,36,6,6.611111111
8/3/2023,EXS,40,10,7,64,214,2023,47,17,2.764705882
8/16/2023,EXS,35,7,4,50,227,2023,39,11,2.537878788
8/18/2023,EXS,33,15,7,62,229,2023,40,22,2.537878788
8/19/2023,EXS,43,13,11,78,230,2023,54,24,2.537878788
5/7/2024,EXS,43,10,16,85,127,2024,59,26,3.166483516
5/8/2024,EXS,39,3,4,50,128,2024,43,7,3.166483516
5/9/2024,EXS,40,10,16,82,129,2024,56,26,3.166483516
5/10/2024,EXS,34,12,8,62,130,2024,42,20,3.166483516
5/14/2024,EXS,47,15,26,114,134,2024,73,41,3.162971175
5/21/2024,EXS,33,12,11,67,141,2024,44,23,3.052734923
5/24/2024,EXS,23,3,28,82,144,2024,51,31,3.052734923
5/24/2024,TRA,2,4,0,6,144,2024,2,4,0.75
5/30/2024,EXS,32,1,32,97,150,2024,64,33,3.03219697
5/30/2024,TRA,21,2,20,63,150,2024,41,22,1.598484848
6/4/2024,EXS,53,2,18,91,155,2024,71,20,5.104642857
6/4/2024,TRA,14,17,21,73,155,2024,35,38,1.484724941
6/7/2024,EXS,29,0,14,57,158,2024,43,14,5.104642857
6/7/2024,TRA,8,3,59,129,158,2024,67,62,1.484724941
6/8/2024,EXS,34,1,2,39,159,2024,36,3,5.104642857
6/8/2024,TRA,3,1,0,4,159,2024,3,1,1.484724941
6/17/2024,EXS,39,0,9,57,168,2024,48,9,3.165697794
6/17/2024,TRA,9,4,38,89,168,2024,47,42,1.131594245
5/19/2025,EXS,45,6,5,61,138,2025,50,11,3.162971175
5/22/2025,EXS,51,5,5,66,141,2025,56,10,3.052734923
5/22/2025,TRA,1,1,0,2,141,2025,1,1,0.75
5/28/2025,EXS,31,6,2,41,147,2025,33,8,3.03219697
5/28/2025,TRA,7,5,1,14,147,2025,8,6,1.598484848
6/11/2025,EXS,18,0,6,30,161,2025,24,6,2.658174819
6/11/2025,TRA,29,4,82,197,161,2025,111,86,1.078579519
6/21/2025,EXS,51,1,35,122,171,2025,86,36,3.165697794
6/21/2025,TRA,31,18,53,155,171,2025,84,71,1.131594245
6/23/2025,EXS,42,0,22,86,173,2025,64,22,3.165697794
6/23/2025,TRA,14,17,70,171,173,2025,84,87,1.131594245
6/28/2024,EXS,67,2,19,107,179,2024,86,21,2.543995719
6/28/2024,TRA,17,0,17,51,179,2024,34,17,1.210386835
6/30/2024,EXS,64,0,20,104,181,2024,84,20,2.543995719
6/30/2024,TRA,6,1,32,71,181,2024,38,33,1.210386835
6/5/2025,EXS,19,0,7,33,155,2025,26,7,5.104642857
6/5/2025,TRA,3,1,13,30,155,2025,16,14,1.484724941
6/9/2025,EXS,35,0,16,67,159,2025,51,16,5.104642857
6/9/2025,TRA,29,5,81,196,159,2025,110,86,1.484724941
7/1/2024,EXS,26,0,12,50,182,2024,38,12,4.121102509
7/1/2024,TRA,4,2,10,26,182,2024,14,12,1.27436273
7/10/2025,EXS,52,0,19,90,190,2025,71,19,4.324174407
7/10/2025,TRA,4,4,14,36,190,2025,18,18,1.2
7/12/2024,EXS,70,0,8,86,193,2024,78,8,4.324174407
7/12/2024,TRA,3,1,1,6,193,2024,4,2,1.2
7/18/2025,EXS,87,2,29,147,198,2025,116,31,4.748387097
7/18/2025,TRA,5,2,8,23,198,2025,13,10,0.9
7/2/2024,EXS,70,0,26,122,183,2024,96,26,4.121102509
7/2/2024,TRA,5,3,20,48,183,2024,25,23,1.27436273
7/23/2025,EXS,50,0,5,60,203,2025,55,5,6.611111111
7/23/2025,TRA,2,1,1,5,203,2025,3,2,1.5
7/4/2024,EXS,71,0,11,93,185,2024,82,11,4.121102509
7/4/2024,TRA,3,0,4,11,185,2024,7,4,1.27436273
7/6/2025,EXS,87,1,47,182,186,2025,134,48,4.121102509
7/6/2025,TRA,10,8,39,96,186,2025,49,47,1.27436273
